Age group,Male,Female
18-19,393.90716970958704,363.88411452284726
20-24,521.7245860298752,406.7318404450978
25-34,541.7079388792362,369.55353684289446
35-44,408.83543136176854,361.4047050801227
45-54,387.98649649319896,403.52737623486075
55-64,338.7699507561205,382.61699119265427
65-74,336.46723252239656,438.12537606132867
75 and over,274.6422599901962,378.2878851292618
