HSE Health Region,All admissions
HSE Dublin and North East,288.9630439013212
HSE Dublin and Midlands,302.18895246276327
HSE Dublin and South East,305.366738392882
HSE South West,320.274799018112
HSE Mid-West,237.2542421300589
HSE West and North West,331.3014738111253
